Name,THE_rank,THE_US_rank 2022,City,State
Amherst College,1,22,Amherst,Massachusetts
Williams College,2,23,Williamstown,Massachusetts
Pomona College,3,25,Claremont,California
Swarthmore College,4,29,Swarthmore,Pennsylvania
Wellesley College,5,31,Wellesley,Massachusetts
Claremont McKenna College,6,34,Claremont,California
Carleton College,7,35,Northfield,Minnesota
Haverford College,8,36,Haverford,Pennsylvania
Bowdoin College,9,38,Brunswick,Maine
Smith College,10,39,Northampton,Massachusetts
Middlebury College,11,40,Middlebury,Vermont
Wesleyan University,12,43,Middletown,Connecticut
United States Military Academy,13,47,West Point,New York
Barnard College,14,50,New York,New York
Colgate University,15,52,Hamilton,New York
Mount Holyoke College,16,55,South Hadley,Massachusetts
Hamilton College,17,58,Clinton,New York
Wake Forest University,18,61,Winston-Salem,North Carolina
Bates College,19,64,Lewiston,Maine
Vassar College,20,65,Poughkeepsie,New York
Davidson College,21,66,Davidson,North Carolina
Scripps College,22,67,Claremont,California
Bryn Mawr College,23,68,Bryn Mawr,Pennsylvania
Grinnell College,24,69,Grinnell,Iowa
Lee University,25,73,Lexington,Virginia
Lafayette College,26,77,Easton,Pennsylvania
Bucknell University,27,81,Lewisburg,Pennsylvania
Franklin & Marshall College,28,84,Lancaster,Pennsylvania
Pitzer College,29,88,Claremont,California
Macalester College,30,89,Saint Paul,Minnesota
Reed College,31,92,Portland,Oregon
Kenyon College,32,93,Gambier,Ohio
Occidental College,33,95,Los Angeles,California
Whitman College,34,98,Walla Walla,Washington
Dickinson College,35,99,Carlisle,Pennsylvania
Skidmore College,36,102,Saratoga Springs,New York
Trinity College,37,104,Hartford,Connecticut
Trinity University,38,106,San Antonio,Texas
Rhodes College,39,108,Memphis,Tennessee
Connecticut College,40,109,New London,Connecticut
Oberlin College,41,112,Oberlin,Ohio
Denison University,42,114,Granville,Ohio
Colorado College,43,115,Colorado Springs,Colorado
College of the Holy Cross,44,117,Worcester,Massachusetts
DePauw University,45,120,Greencastle,Indiana
Seattle University,46,122,Seattle,Washington
Gettysburg College,46,122,Gettysburg,Pennsylvania
Spelman College,48,126,Atlanta,Georgia
Simmons University,49,128,Boston,Massachusetts
Union College,50,134,Schenectady,New York
Elon University,51,143,Elon,North Carolina
Willamette University,52,147,Salem,Oregon
Berea College,53,148,Berea,Kentucky
Furman University,54,149,Greenville,South Carolina
St Olaf College,55,150,Northfield,Minnesota
The College of Wooster,55,150,Wooster,Ohio
Smith Colleges,57,160,Geneva,New York
Wheaton College (Massachusetts),57,160,Norton,Massachusetts
Linfield College - McMinnville campus,57,160,McMinnville,Oregon
Allegheny College,60,164,Meadville,Pennsylvania
Muhlenberg College,61,166,Allentown,Pennsylvania
Lawrence University,62,168,Appleton,Wisconsin
Kalamazoo College,63,172,Kalamazoo,Michigan
Wheaton College (Illinois),64,173,Wheaton,Illinois
Sewanee-The University of the South,65,190,Sewanee,Tennessee
Lake Forest College,66,192,Lake Forest,Illinois
Gonzaga University,66,192,Spokane,Washington
Beloit College,66,192,Beloit,Wisconsin
Lawrence University,66,192,Canton,New York
Saint Mary's College of California,70,197,Moraga,California
Westmont College,70,197,Santa Barbara,California
Sarah Lawrence College,72,200,Bronxville,New York
Wesleyan University,73,204,Delaware,Ohio
Washington College,73,204,Chestertown,Maryland
Gustavus Adolphus College,75,206,Saint Peter,Minnesota
Susquehanna University,76,207,Selinsgrove,Pennsylvania
Earlham College,76,207,Richmond,Indiana
Wofford College,78,210,Spartanburg,South Carolina
Westminster College (Utah),79,217,Salt Lake City,Utah
Providence College,80,219,Providence,Rhode Island
Stonehill College,80,219,Easton,Massachusetts
College of Saint Benedict,82,223,Saint Joseph,Minnesota
Centre College,82,223,Danville,Kentucky
Miami University,84,227,Oxford,Ohio
Knox College,85,229,Galesburg,Illinois
Ithaca College,86,231,Ithaca,New York
Lewis & Clark College,87,234,Portland,Oregon
Mount Saint Mary's University,88,236,Los Angeles,California
Southwestern University,89,238,Georgetown,Texas
Adelphi University,90,238,Garden City,New York
Mercer University,91,244,Macon,Georgia
Albion College,91,244,Albion,Michigan
Manhattan College,93,256,Riverdale,New York
Saint Anselm College,93,256,Manchester,New Hampshire
Austin College,95,261,Sherman,Texas
Rollins College,96,264,Winter Park,Florida
Hope College,96,264,Holland,Michigan
Luther College,98,269,Decorah,Iowa
Augustana College (Illinois),99,271,Rock Island,Illinois
Bard College,100,273,Annandale-On-Hudson,New York